BMW 5-й серии;156
Mercedes S;98
Mercedes E;83
Audi A6;62
BMW 7-й серии;58
BMW X5;43
Mercedes ML;31
Toyota Land Cruiser Prado;26
Mercedes GL;26
Porsche Cayenne;15
Audi A8;9
BMW 1-й серии;4
BMW X3;3
BMW 6-й серии;2
Audi Q7;2
Hummer H3;1
Jaguar S-Type;1
Bentley (все модели);1
